Film_title,Director,Cast,Average_rating,Watches,Film_URL
Parasite,Bong Joon-ho,"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong']",4.56,3699736,https://letterboxd.com/film/parasite-2019/
Joker,Todd Phillips,"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz']",3.84,3679961,https://letterboxd.com/film/joker-2019/
Fight Club,David Fincher,"['Edward Norton', 'Brad Pitt', 'Helena Bonham Carter']",4.27,3607416,https://letterboxd.com/film/fight-club/
Barbie,Greta Gerwig,"['Margot Robbie', 'Ryan Gosling', 'America Ferrera']",3.88,3427000,https://letterboxd.com/film/barbie/
The Dark Knight,Christopher Nolan,"['Christian Bale', 'Heath Ledger', 'Michael Caine']",4.47,3392310,https://letterboxd.com/film/the-dark-knight/
Interstellar,Christopher Nolan,"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain']",4.34,3372745,https://letterboxd.com/film/interstellar/
Inception,Christopher Nolan,"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Ken Watanabe']",4.19,3315625,https://letterboxd.com/film/inception/
Spider-Man: Into the Spider-Verse,"Rodney Rothman, Peter Ramsey","['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld']",4.42,3306583,https://letterboxd.com/film/spider-man-into-the-spider-verse/
Pulp Fiction,Quentin Tarantino,"['John Travolta', 'Samuel L. Jackson', 'Uma Thurman']",4.27,3260515,https://letterboxd.com/film/pulp-fiction/
Get Out,Jordan Peele,"['Daniel Kaluuya', 'Allison Williams', 'Bradley Whitford']",4.16,3211056,https://letterboxd.com/film/get-out-2017/
Knives Out,Rian Johnson,"['Daniel Craig', 'Chris Evans', 'Ana de Armas']",3.99,3172472,https://letterboxd.com/film/knives-out-2019/
The Wolf of Wall Street,Martin Scorsese,"['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']",4.0,3086762,https://letterboxd.com/film/the-wolf-of-wall-street/
Avengers: Infinity War,"Anthony Russo, Joe Russo","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo']",3.95,3062126,https://letterboxd.com/film/avengers-infinity-war/
La La Land,Damien Chazelle,"['Ryan Gosling', 'Emma Stone', 'John Legend']",4.08,3066453,https://letterboxd.com/film/la-la-land/
The Truman Show,Peter Weir,"['Jim Carrey', 'Laura Linney', 'Noah Emmerich']",4.21,3055228,https://letterboxd.com/film/the-truman-show/
Forrest Gump,Robert Zemeckis,"['Tom Hanks', 'Robin Wright', 'Gary Sinise']",4.12,3049382,https://letterboxd.com/film/forrest-gump/
Ratatouille,Brad Bird,"['Patton Oswalt', 'Lou Romano', 'Ian Holm']",4.2,3038905,https://letterboxd.com/film/ratatouille/
Avengers: Endgame,"Anthony Russo, Joe Russo","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo']",3.87,2934174,https://letterboxd.com/film/avengers-endgame/
Guardians of the Galaxy,James Gunn,"['Chris Pratt', 'Zoe Saldaña', 'Dave Bautista']",3.78,2892806,https://letterboxd.com/film/guardians-of-the-galaxy/
Up,Pete Docter,"['Ed Asner', 'Christopher Plummer', 'Jordan Nagai']",4.09,2863153,https://letterboxd.com/film/up/
Whiplash,Damien Chazelle,"['Miles Teller', 'J.K. Simmons', 'Paul Reiser']",4.43,2802329,https://letterboxd.com/film/whiplash-2014/
Black Panther,Ryan Coogler,"['Chadwick Boseman', 'Michael B. Jordan', '""Lupita Nyongo""']",3.64,2783532,https://letterboxd.com/film/black-panther/
Everything Everywhere All at Once,"Daniel Scheinert, Daniel Kwan","['Michelle Yeoh', 'Stephanie Hsu', 'Ke Huy Quan']",4.31,2783757,https://letterboxd.com/film/everything-everywhere-all-at-once/
The Batman,Matt Reeves,"['Robert Pattinson', 'Zoë Kravitz', 'Paul Dano']",3.98,2777986,https://letterboxd.com/film/the-batman/
Spider-Man: No Way Home,Jon Watts,"['Tom Holland', 'Zendaya', 'Benedict Cumberbatch']",3.85,2756319,https://letterboxd.com/film/spider-man-no-way-home/
Midsommar,Ari Aster,"['Florence Pugh', 'Jack Reynor', 'William Jackson Harper']",3.78,2752821,https://letterboxd.com/film/midsommar/
Inside Out,Pete Docter,"['Amy Poehler', 'Phyllis Smith', 'Bill Hader']",3.82,2703695,https://letterboxd.com/film/inside-out-2015/
Spirited Away,Hayao Miyazaki,"['Rumi Hiiragi', 'Miyu Irino', 'Mari Natsuki']",4.46,2650652,https://letterboxd.com/film/spirited-away/
Dune,Denis Villeneuve,"['Timothée Chalamet', 'Rebecca Ferguson', 'Oscar Isaac']",3.9,2662539,https://letterboxd.com/film/dune-2021/
Titanic,James Cameron,"['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane']",3.8,2644058,https://letterboxd.com/film/titanic-1997/
American Psycho,Mary Harron,"['Christian Bale', 'Willem Dafoe', 'Jared Leto']",3.86,2602828,https://letterboxd.com/film/american-psycho/
Inglourious Basterds,Quentin Tarantino,"['Brad Pitt', 'Mélanie Laurent', 'Christoph Waltz']",4.34,2593118,https://letterboxd.com/film/inglourious-basterds/
The Shining,Stanley Kubrick,"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd']",4.24,2552125,https://letterboxd.com/film/the-shining/
WALL·E,Andrew Stanton,"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin']",4.19,2553030,https://letterboxd.com/film/walle/
Toy Story,John Lasseter,"['Tom Hanks', 'Tim Allen', 'Don Rickles']",4.13,2552152,https://letterboxd.com/film/toy-story/
