Film_title,Director,Average_rating,Watches,Film_URL,Actor1,Actor2,Actor3
La La Land,Damien Chazelle,4.08,3066347,https://a.ltrbxd.com/resized/film-poster/2/4/0/3/4/4/240344-la-la-land-0-1000-0-1500-crop.jpg?v=053670ff84,Ryan Gosling,Emma Stone,John Legend
Interstellar,Christopher Nolan,4.34,3372726,https://a.ltrbxd.com/resized/film-poster/1/1/7/6/2/1/117621-interstellar-0-1000-0-1500-crop.jpg?v=7ad89e6666,Matthew McConaughey,Anne Hathaway,Jessica Chastain
Everything Everywhere All at Once,"Daniel Scheinert, Daniel Kwan",4.31,2783713,https://a.ltrbxd.com/resized/film-poster/4/7/4/4/7/4/474474-everything-everywhere-all-at-once-0-1000-0-1500-crop.jpg?v=281f1a041e,Michelle Yeoh,Stephanie Hsu,Ke Huy Quan
Fight Club,David Fincher,4.27,3607338,https://a.ltrbxd.com/resized/film-poster/5/1/5/6/8/51568-fight-club-0-1000-0-1500-crop.jpg?v=768b32dfa4,Edward Norton,Brad Pitt,Helena Bonham Carter
Whiplash,Damien Chazelle,4.43,2802270,https://a.ltrbxd.com/resized/sm/upload/cl/dn/kr/f1/4C9LHDxMsoYI0S3iMPZdm3Oevwo-0-1000-0-1500-crop.jpg?v=d13ea36528,Miles Teller,J.K. Simmons,Paul Reiser
Eternal Sunshine of the Spotless Mind,Michel Gondry,4.25,2282840,https://a.ltrbxd.com/resized/sm/upload/ay/bp/kl/1y/uBfQ7IGpi0jXSP3GPCzp9Pzm10v-0-1000-0-1500-crop.jpg?v=116621c401,Jim Carrey,Kate Winslet,Kirsten Dunst
Little Women,Greta Gerwig,4.14,1953601,https://a.ltrbxd.com/resized/sm/upload/r4/np/q5/te/mSmiB8XjUnR1GSIljuCPGsk0cwX-0-1000-0-1500-crop.jpg?v=b3f603929c,Saoirse Ronan,Florence Pugh,Emma Watson
Parasite,Bong Joon-ho,4.56,3699700,https://a.ltrbxd.com/resized/film-poster/4/2/6/4/0/6/426406-parasite-0-1000-0-1500-crop.jpg?v=8f5653f710,Song Kang-ho,Lee Sun-kyun,Cho Yeo-jeong
Dead Poets Society,Peter Weir,4.25,1756410,https://a.ltrbxd.com/resized/film-poster/5/1/8/4/6/51846-dead-poets-society-0-1000-0-1500-crop.jpg?v=9273e8acf7,Robin Williams,Ethan Hawke,Robert Sean Leonard
The Dark Knight,Christopher Nolan,4.47,3392288,https://a.ltrbxd.com/resized/sm/upload/78/y5/zg/ej/oefdD26aey8GPdx7Rm45PNncJdU-0-1000-0-1500-crop.jpg?v=2d0ce4be25,Christian Bale,Heath Ledger,Michael Caine
Spider-Man: Into the Spider-Verse,"Rodney Rothman, Peter Ramsey",4.42,3306523,https://a.ltrbxd.com/resized/film-poster/2/5/1/9/4/3/251943-spider-man-into-the-spider-verse-0-1000-0-1500-crop.jpg?v=538fe0ada6,Shameik Moore,Jake Johnson,Hailee Steinfeld
Spirited Away,Hayao Miyazaki,4.46,2650616,https://a.ltrbxd.com/resized/film-poster/5/1/9/2/1/51921-spirited-away-0-1000-0-1500-crop.jpg?v=a3ad463c55,Rumi Hiiragi,Miyu Irino,Mari Natsuki
Pulp Fiction,Quentin Tarantino,4.27,3260481,https://a.ltrbxd.com/resized/film-poster/5/1/4/4/4/51444-pulp-fiction-0-1000-0-1500-crop.jpg?v=dee19a8077,John Travolta,Samuel L. Jackson,Uma Thurman
Pride & Prejudice,Joe Wright,4.1,1216182,https://a.ltrbxd.com/resized/sm/upload/nq/jo/26/tn/dAC0hkYmz5ZOCHURZCyj9isPMPd-0-1000-0-1500-crop.jpg?v=b3dac3ffd7,Keira Knightley,Matthew Macfadyen,Brenda Blethyn
Howl's Moving Castle,Hayao Miyazaki,4.32,1657069,https://a.ltrbxd.com/resized/film-poster/4/9/0/6/2/49062-howl-s-moving-castle-0-1000-0-1500-crop.jpg?v=fde81bda52,Chieko Baisho,Takuya Kimura,Akihiro Miwa
Fantastic Mr. Fox,Wes Anderson,4.27,1848554,https://a.ltrbxd.com/resized/film-poster/4/6/3/4/4/46344-fantastic-mr-fox-0-1000-0-1500-crop.jpg?v=3a2a858065,George Clooney,Meryl Streep,Jason Schwartzman
The Perks of Being a Wallflower,Stephen Chbosky,3.91,2058619,https://a.ltrbxd.com/resized/sm/upload/zz/o0/mz/sv/fyYncUQh5gUTvxmQ4bigm2DVCv7-0-1000-0-1500-crop.jpg?v=1188bcf4af,Logan Lerman,Emma Watson,Ezra Miller
